impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5068	0.5049	1.9133	1.9059	321.00	15	1		128	8	2	8	1	8	3	1
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.8052	1.8057	7.7726	7.7751	321.02	15	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	8192	128	bf16	2.3532	2.3492	7.2753	7.2890	960.60	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	8192	128	bf16	1.8995	1.8974	5.5730	5.5701	960.60	15	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	8192	128	bf16	28.0877	28.0771	70.5284	70.5268	16832.07	15	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	8192	128	bf16	1.0666	1.0685	6.2917	6.3099	417.39	15	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9684	0.9677	3.5954	3.5978	385.00	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5080	0.5063	1.9509	1.9471	321.00	15	1		128	8	2	8	1	8	3	5
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.7822	1.7853	7.7293	7.7482	321.02	15	1		128	8	2	8	1	8	3	5
sdpa_flash_vortex	2	8	8192	128	bf16	4.1930	4.1929	12.4657	12.4628	1984.85	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	8192	128	bf16	3.7469	3.7454	10.7856	10.7795	1984.85	15	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	8192	128	bf16	29.9137	29.9166	75.6974	75.7037	16832.07	15	1		128	8	2	8	1	8	3	5
vortex_fused	2	8	8192	128	bf16	1.3920	1.3932	10.9642	10.9632	417.39	15	1		128	8	2	8	1	8	3	5
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9972	0.9942	3.6375	3.6392	385.00	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5081	0.5063	1.9514	1.9483	321.00	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.7976	1.7991	7.6892	7.6316	321.02	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	8192	128	bf16	3.2772	3.2842	9.8318	9.8287	1472.73	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	8192	128	bf16	2.8319	2.8300	8.1855	8.1826	1472.73	15	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	8192	128	bf16	29.0076	29.0088	73.1657	73.1766	16832.07	15	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	8192	128	bf16	1.2373	1.2328	8.5700	8.5559	417.39	15	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1272	0.1256	0.4460	0.4443	96.25	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0828	0.0819	0.3013	0.2937	80.25	15	1		128	8	2	8	1	8	3	7
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1785	0.1779	0.8081	0.8069	80.25	15	1		128	8	2	8	1	8	3	7
sdpa_flash_vortex	2	8	2048	128	bf16	1.1640	1.1644	3.5580	3.5563	672.60	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_vortex	2	8	2048	128	bf16	1.1228	1.1229	3.7290	3.7803	672.60	15	1		128	8	2	8	1	8	3	7
eager_vortex	2	8	2048	128	bf16	2.6829	2.6818	7.4347	7.4359	1196.47	15	1		128	8	2	8	1	8	3	7
vortex_fused	2	8	2048	128	bf16	0.3409	0.3396	2.8117	2.7927	152.40	15	1		128	8	2	8	1	8	3	7
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3484	0.3489	1.1858	1.1929	192.50	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1808	0.1793	0.6857	0.6791	160.50	15	1		128	8	2	8	1	8	3	7
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5450	0.5441	2.3615	2.3663	160.51	15	1		128	8	2	8	1	8	3	7
sdpa_flash_vortex	2	8	4096	128	bf16	2.5393	2.5406	7.3702	7.3702	1280.73	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_vortex	2	8	4096	128	bf16	2.5823	2.3884	6.8220	6.8191	1280.73	15	1		128	8	2	8	1	8	3	7
eager_vortex	2	8	4096	128	bf16	8.5995	8.5953	22.6978	22.6860	4336.07	15	1		128	8	2	8	1	8	3	7
vortex_fused	2	8	4096	128	bf16	0.6920	0.6935	5.6139	5.6050	240.70	15	1		128	8	2	8	1	8	3	7
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9933	0.9946	3.5902	3.5900	385.00	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5055	0.5039	1.9126	1.9076	321.00	15	1		128	8	2	8	1	8	3	7
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.8123	1.8059	7.7894	7.8008	321.02	15	1		128	8	2	8	1	8	3	7
sdpa_flash_vortex	2	8	8192	128	bf16	5.1114	5.1126	15.0639	15.0664	2496.98	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_vortex	2	8	8192	128	bf16	4.6698	4.6674	13.4112	13.4064	2496.98	15	1		128	8	2	8	1	8	3	7
eager_vortex	2	8	8192	128	bf16	30.8090	30.8034	78.2316	78.2386	16832.07	15	1		128	8	2	8	1	8	3	7
vortex_fused	2	8	8192	128	bf16	1.5520	1.5499	12.2881	12.2673	417.39	15	1		128	8	2	8	1	8	3	7
